Player_ID,Nome,Nome completo,Posição,Overall,Similaridade
233795,B. Brereton Díaz,Benjamin Anthony Brereton Díaz,"Atacante, Meio campo",74,0.9110278767269548
212188,T. Werner,Timo Werner,Atacante,82,0.9106709853996965
217998,C. Arango,Cristian Daniel Arango Duque,"Atacante, Meio campo",76,0.9105094931832787
231628,Rafa Mir,Rafael Mir Vicente,Atacante,77,0.9098075525398336
224458,Diogo Jota,Diogo José Teixeira da Silva,"Atacante, Extremo",85,0.9097763921760388
228941,André Silva,André Miguel Valente da Silva,Atacante,80,0.9076860626490966
237034,Cucho Hernández,Juan Camilo Hernández Suárez,"Atacante, Meio campo",76,0.9071864249548219
188567,P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,Atacante,80,0.9048947828255764
199069,V. Aboubakar,Vincent Paté Aboubakar,Atacante,79,0.9044479602621287
225733,Cesinha,Cesar Fernando Silva dos Santos,"Atacante, Extremo, Meio campo",75,0.9041875348861901
221697,O. Watkins,Ollie Watkins,Atacante,80,0.9039848017268112
228687,K. Dolberg,Kasper Dolberg Rasmussen,Atacante,75,0.9036604208611143
236610,M. Kean,Moise Bioty Kean,"Atacante, Extremo",78,0.9034251897915705
236276,A. Danjuma,Arnaut Danjuma Adam Groeneveld,"Atacante, Meio campo",81,0.9033620439145212
231184,Guruzeta,Gorka Guruzeta Rodríguez,Atacante,77,0.9028171550588078
213135,D. Origi,Divock Okoth Origi,"Atacante, Extremo",75,0.9027404966197078
238900,E. Demirović,Ermedin Demirović,"Atacante, Meio campo",75,0.9023638571327284
229188,V. Pavlidis,Vangelis Pavlidis,Atacante,78,0.9022037570233766
224069,K. Toko Ekambi,Karl Brillant Toko Ekambi,"Atacante, Extremo, Meio campo",76,0.9019912652521528
192598,Ai Kesen,艾克森,"Atacante, Extremo",76,0.9010827779842554
193290,M. Braithwaite,Martin Braithwaite Christensen,"Atacante, Meio campo",77,0.9006779407158849
193301,A. Lacazette,Alexandre Lacazette,Atacante,83,0.9005408315549894
204538,R. Ruidíaz,Raúl Mario Ruidíaz Misitich,Atacante,77,0.900480729079061
192505,R. Lukaku,Romelu Lukaku Menama,Atacante,84,0.899872778508135
216475,Morales,José Luis Morales Nogales,"Atacante, Meio campo",79,0.899780004106798
186200,F. Borini,Fabio Borini,"Atacante, Extremo, Meio campo",77,0.8989732775699135
241788,M. Taremi,Mehdi Taremi,Atacante,82,0.8986275571105552
256903,Gonçalo Ramos,Gonçalo Matias Ramos,Atacante,80,0.8983081471967295
224179,Borja Iglesias,Borja Iglesias Quintás,Atacante,83,0.897888614870287
242516,C. Gakpo,Cody Mathès Gakpo,"Atacante, Extremo",83,0.8976997642352275
251412,S. Weissman,Shon Zalman Weissman,Atacante,75,0.897557361100227
234671,J. Odgaard,Jens Odgaard,"Atacante, Extremo",73,0.8975319403604425
220715,E. Ponce,Ezequiel Ponce Martínez,Atacante,73,0.8971092831929931
190717,M. Antonio,Michail Antonio,Atacante,78,0.8967726220168079
269510,V. Jurečka,Václav Jurečka,"Atacante, Extremo",74,0.8962075166751957
216549,A. Sørloth,Alexander Sørloth,Atacante,79,0.8958288128073508
208830,J. Vardy,Jamie Vardy,Atacante,78,0.8944709631015912
253019,M. Brunori,Matteo Luigi Brunori,Atacante,73,0.8938454920410992
194765,A. Griezmann,Antoine Griezmann,Atacante,88,0.8936790838734094
213955,S. Azmoun,Sardar Azmoun,"Atacante, Meio campo",78,0.8935854374050789
260592,B. Šeško,Benjamin Šeško,Atacante,75,0.8932728378141616
231652,S. Banza,Simon Bokoté Banza,Atacante,78,0.8930775713410721
214997,Á. Correa,Ángel Martín Correa,"Atacante, Meio campo",82,0.8929979312353006
212260,Hwang Ui Jo,황의조 Ui Jo Hwang,"Atacante, Extremo",74,0.8929700122844827
246618,A. Hložek,Adam Hložek,"Atacante, Meio campo",77,0.8922252206612125
202556,M. Depay,Memphis Depay,"Atacante, Extremo",84,0.8918783195883735
185422,J. King,Joshua Christian Kojo King,"Atacante, Extremo",75,0.8913602954225253
221479,D. Calvert-Lewin,Dominic Calvert-Lewin,Atacante,77,0.8910411079078396
239910,A. Boupendza,Aaron Salem Boupendza Pozzi,"Atacante, Extremo, Meio campo",76,0.8894840899619265
231447,D. Malen,Donyell Malen,"Atacante, Meio campo",82,0.8892830667472138
265800,Jutglà,Ferran Jutglà Blanch,Atacante,75,0.8886221493079068
208722,S. Mané,Sadio Mané,"Atacante, Meio campo",86,0.8884414236736093
241461,Ferran Torres,Ferran Torres García,"Atacante, Extremo",82,0.887051396731965
198715,Sergio León,Sergio León Limones,Atacante,73,0.886082257278895
230666,Gabriel Jesus,Gabriel Fernando de Jesus,"Atacante, Extremo",84,0.8859542840329715
